Starting position	Type	Technique	End position	Links	Steps	Keys
Mount	submission	Ezequiel choke	Mount	https://youtu.be/KVnengZD1XA?t=102	Feed sleeve deep; blade of forearm across neck | Hide choking wrist inside their collar | Slide forearm and compress while keeping elbow on mat | Use head/shoulder pressure to pin them in place	Keep head low to prevent bridging | Use gi slack to increase blade pressure
Mount	submission	Cross-collar choke	Mount	https://www.youtube.com/shorts/sYeKzpazoek	First hand deep palm-up; wrist straight | Second hand palm-up across; blades on carotids | Head to mat; pull elbows to ribs; squeeze knees	Get first hand very deep | Keep wrists straight; pull elbows low
Mount	submission	Americana	Mount	https://youtu.be/KbOkHMVhnT8?t=20	Pin wrist to mat with monkey grip | Figure-four your arms | Slide their elbow toward hip, then lift wrist to finish	Use monkey grip (no thumb) | Elbow on their face to pin shoulder line
Mount	submission	Armbar	Armbar control	https://www.youtube.com/shorts/yIST8t91uXw	Climb to high mount; isolate arm | Step over head and sit to far side | Pinch knees; thumb up; hips through	Appears when they frame vs cross-collar | Keep knees tight and heels heavy
Side control	submission	Americana	Side control	https://youtu.be/Zhh4W24rwrw?t=26	Crossface; pin near-side wrist to mat | Figure-four; wrist to floor | Elbow to ear; paintbrush finish	Hit it when they bench-press | Head pressure to pin wrist
Side control	submission	Kimura	Side control	https://www.youtube.com/shorts/astb6aVjcu4 | https://www.youtube.com/watch?v=p-6lmaseoGI	Switch base or turn hips away | Isolate their near arm; come to knees | Lock figure-four; step over head if available; finish	Use hip switch to expose elbow line | Turn their face away to kill posture
Side control	transition	Step to mount (scrape windshield-wiper)	Mount	https://www.youtube.com/watch?v=bnODqDL9c6Q	Walk near knee to armpit | Scrape under near elbow | Head to mat far side; knee slides across; windshield-wiper foot	Keep chest heavy to prevent elbow-knee escape
Closed guard	submission	Cross-collar choke	Closed guard	https://www.youtube.com/shorts/geONCXGYj9Y	Break posture; first grip deep palm-up | Open angle; second grip palm-up | Pull elbows to ribs; crunch knees	Don’t stay square; build angle first | Get first grip as deep as possible
Closed guard	submission	Triangle	Closed guard	https://www.youtube.com/shorts/kXT_YKKcvHw	Break posture; control wrist | Foot on hip; pivot; leg over shoulder | Lock triangle; angle off; pull head and lift hips	Grab shin (not foot) to adjust | Arm across centerline
Closed guard	submission	Armbar	Armbar control	https://www.youtube.com/shorts/ybdyDkzfQG8	Control wrist/triceps | Foot on hip; pivot; hamstring bite | Thumb up; hips through	Climb high before opening | Don’t lose head control
